7 33 607 0.006070
13 121 503 0.005030
5 374 572 0.005720
13 133 785 0.007850
13 228 657 0.006570
7 473 635 0.006350
22 58 661 0.006610
13 391 687 0.006870
5 717 576 0.005760
22 206 620 0.006200
7 677 769 0.007690
28 59 537 0.005370
22 363 523 0.005230
22 414 756 0.007560
18 542 613 0.006130
13 723 740 0.007400
28 355 529 0.005290
34 218 852 0.008520
33 286 687 0.006870
34 284 845 0.008450
40 146 734 0.007340
34 347 844 0.008440
22 794 765 0.007650
33 473 609 0.006090
18 957 607 0.006070
22 858 729 0.007290
34 516 824 0.008240
39 363 617 0.006170
22 919 511 0.005110
40 369 565 0.005650
40 420 511 0.005110
42 542 589 0.005890
40 705 1107 0.011070
33 948 720 0.007200
40 826 1187 0.011870
39 919 506 0.005060
58 363 538 0.005380
58 369 568 0.005680
59 355 643 0.006430
53 599 539 0.005390
73 184 575 0.005750
70 286 513 0.005130
70 363 757 0.007570
55 945 640 0.006400
76 326 500 0.005000
55 999 637 0.006370
58 919 504 0.005040
58 938 782 0.007820
76 439 772 0.007720
73 542 846 0.008460
71 685 860 0.008600
91 121 523 0.005230
71 766 789 0.007890
72 767 673 0.006730
71 820 798 0.007980
76 685 797 0.007970
70 872 515 0.005150
91 310 536 0.005360
76 776 787 0.007870
76 830 510 0.005100
73 938 628 0.006280
91 511 510 0.005100
95 429 508 0.005080
91 621 550 0.005500
101 363 595 0.005950
91 794 519 0.005190
94 790 538 0.005380
106 495 622 0.006220
121 133 512 0.005120
121 310 502 0.005020
106 816 616 0.006160
106 863 616 0.006160
106 945 626 0.006260
121 511 542 0.005420
117 674 577 0.005770
131 275 544 0.005440
121 594 642 0.006420
121 621 511 0.005110
121 639 500 0.005000
121 794 547 0.005470
121 830 575 0.005750
121 863 665 0.006650
121 886 507 0.005070
121 896 685 0.006850
133 639 540 0.005400
133 689 580 0.005800
144 461 555 0.005550
146 420 631 0.006310
144 482 558 0.005580
155 169 574 0.005740
159 355 644 0.006440
144 920 564 0.005640
159 584 639 0.006390
159 618 637 0.006370
158 720 519 0.005190
184 367 616 0.006160
176 767 552 0.005520
186 472 680 0.006800
184 542 529 0.005290
176 835 543 0.005430
178 776 510 0.005100
176 911 713 0.007130
186 679 664 0.006640
178 948 600 0.006000
193 488 517 0.005170
184 767 608 0.006080
193 639 529 0.005290
186 961 677 0.006770
209 291 803 0.008030
193 889 534 0.005340
206 530 554 0.005540
193 936 775 0.007750
209 459 796 0.007960
198 879 544 0.005440
215 355 775 0.007750
218 284 926 0.009260
218 347 1336 0.013360
218 395 543 0.005430
218 488 546 0.005460
218 511 547 0.005470
218 516 843 0.008430
218 547 599 0.005990
218 562 519 0.005190
209 889 829 0.008290
211 830 508 0.005080
218 662 693 0.006930
209 970 806 0.008060
228 391 1049 0.010490
215 957 577 0.005770
218 889 539 0.005390
218 924 625 0.006250
218 948 716 0.007160
228 723 995 0.009950
237 542 510 0.005100
230 759 516 0.005160
243 393 524 0.005240
243 472 685 0.006850
243 490 526 0.005260
237 830 566 0.005660
243 759 669 0.006690
237 957 521 0.005210
241 957 524 0.005240
284 347 910 0.009100
280 490 547 0.005470
284 516 835 0.008350
280 767 501 0.005010
291 459 786 0.007860
297 369 634 0.006340
286 872 523 0.005230
286 948 677 0.006770
291 889 826 0.008260
291 970 797 0.007970
297 830 736 0.007360
310 621 501 0.005010
310 794 507 0.005070
336 510 639 0.006390
347 516 849 0.008490
351 412 624 0.006240
347 562 666 0.006660
351 573 613 0.006130
351 580 630 0.006300
350 635 512 0.005120
355 481 540 0.005400
355 584 660 0.006600
355 618 680 0.006800
347 889 689 0.006890
351 804 634 0.006340
351 843 601 0.006010
355 723 566 0.005660
349 913 562 0.005620
350 889 530 0.005300
355 753 548 0.005480
369 439 518 0.005180
369 461 502 0.005020
369 471 581 0.005810
369 495 860 0.008600
355 957 586 0.005860
369 530 640 0.006400
369 654 548 0.005480
369 683 1193 0.011930
369 693 928 0.009280
363 919 532 0.005320
369 767 504 0.005040
369 830 1194 0.011940
374 717 585 0.005850
369 938 701 0.007010
393 462 502 0.005020
386 685 639 0.006390
393 490 866 0.008660
393 570 535 0.005350
391 723 1042 0.010420
402 461 554 0.005540
393 802 664 0.006640
402 572 708 0.007080
393 863 881 0.008810
402 759 604 0.006040
412 573 610 0.006100
412 580 617 0.006170
404 951 541 0.005410
412 804 826 0.008260
420 582 546 0.005460
412 843 603 0.006030
414 794 766 0.007660
420 666 533 0.005330
414 858 731 0.007310
420 753 597 0.005970
420 798 622 0.006220
420 855 519 0.005190
439 685 825 0.008250
449 539 723 0.007230
439 967 676 0.006760
461 482 526 0.005260
449 888 621 0.006210
462 570 500 0.005000
451 938 561 0.005610
461 685 619 0.006190
459 889 796 0.007960
471 535 764 0.007640
462 863 514 0.005140
459 970 788 0.007880
461 920 591 0.005910
461 924 574 0.005740
472 664 633 0.006330
472 679 810 0.008100
472 759 694 0.006940
471 794 581 0.005810
472 872 643 0.006430
478 767 525 0.005250
472 961 935 0.009350
471 996 754 0.007540
488 511 646 0.006460
488 639 523 0.005230
482 920 536 0.005360
495 542 694 0.006940
495 632 659 0.006590
488 889 558 0.005580
495 683 714 0.007140
497 627 761 0.007610
488 936 519 0.005190
495 816 625 0.006250
495 863 720 0.007200
495 884 671 0.006710
495 894 572 0.005720
495 945 654 0.006540
495 964 611 0.006110
511 621 509 0.005090
511 794 535 0.005350
510 938 643 0.006430
517 745 678 0.006780
523 618 622 0.006220
530 592 509 0.005090
530 599 943 0.009430
530 783 862 0.008620
524 999 561 0.005610
530 830 584 0.005840
542 632 625 0.006250
539 781 511 0.005110
535 996 750 0.007500
539 879 767 0.007670
547 662 610 0.006100
542 957 570 0.005700
542 964 590 0.005900
547 924 600 0.006000
547 948 608 0.006080
562 889 678 0.006780
573 580 601 0.006010
572 624 783 0.007830
570 802 503 0.005030
572 796 838 0.008380
570 863 552 0.005520
573 804 604 0.006040
572 854 793 0.007930
573 843 592 0.005920
582 632 580 0.005800
584 618 631 0.006310
580 804 619 0.006190
580 843 600 0.006000
581 872 541 0.005410
582 967 624 0.006240
594 863 615 0.006150
598 767 569 0.005690
594 896 631 0.006310
599 783 800 0.008000
598 961 504 0.005040
607 976 682 0.006820
618 886 632 0.006320
621 794 519 0.005190
624 796 805 0.008050
624 854 791 0.007910
632 736 535 0.005350
632 781 540 0.005400
632 964 591 0.005910
639 889 529 0.005290
639 936 513 0.005130
662 924 623 0.006230
664 872 624 0.006240
662 948 637 0.006370
675 721 537 0.005370
676 702 540 0.005400
676 887 823 0.008230
685 766 812 0.008120
685 767 613 0.006130
679 961 669 0.006690
685 820 800 0.008000
685 924 514 0.005140
693 747 578 0.005780
693 767 535 0.005350
705 826 1102 0.011020
705 885 540 0.005400
708 868 504 0.005040
709 884 609 0.006090
709 979 569 0.005690
721 781 587 0.005870
736 781 527 0.005270
747 967 618 0.006180
766 820 787 0.007870
767 961 621 0.006210
775 884 557 0.005570
790 830 1194 0.011940
789 957 733 0.007330
794 858 734 0.007340
794 915 568 0.005680
796 854 806 0.008060
794 985 656 0.006560
799 863 513 0.005130
802 863 674 0.006740
804 843 607 0.006070
815 830 501 0.005010
816 863 615 0.006150
816 945 626 0.006260
826 880 537 0.005370
854 884 571 0.005710
855 900 539 0.005390
863 896 635 0.006350
863 945 659 0.006590
885 938 594 0.005940
884 979 601 0.006010
889 936 535 0.005350
889 970 810 0.008100
915 985 546 0.005460
924 948 859 0.008590
945 999 637 0.006370
