1 594 0.005940
2 1535 0.015350
3 673 0.006730
4 531 0.005310
5 1394 0.013940
6 1094 0.010940
7 2149 0.021490
8 997 0.009970
9 3090 0.030900
11 1351 0.013510
12 525 0.005250
13 3415 0.034150
18 1683 0.016830
19 813 0.008130
22 2666 0.026660
26 1395 0.013950
27 527 0.005270
28 2165 0.021650
29 1454 0.014540
32 1666 0.016660
33 4248 0.042480
34 1460 0.014600
36 1984 0.019840
37 528 0.005280
38 1249 0.012490
39 2402 0.024020
40 4258 0.042580
42 1353 0.013530
44 1721 0.017210
45 903 0.009030
46 1728 0.017280
47 543 0.005430
49 2472 0.024720
52 1612 0.016120
53 1983 0.019830
54 535 0.005350
55 2595 0.025950
56 1959 0.019590
58 2743 0.027430
59 1330 0.013300
67 888 0.008880
69 1601 0.016010
70 2370 0.023700
71 2411 0.024110
72 3507 0.035070
73 2852 0.028520
74 2179 0.021790
76 3151 0.031510
79 2471 0.024710
81 826 0.008260
83 674 0.006740
86 1555 0.015550
91 1875 0.018750
94 2777 0.027770
95 1201 0.012010
96 841 0.008410
97 975 0.009750
98 1466 0.014660
101 1749 0.017490
105 1158 0.011580
106 1100 0.011000
109 940 0.009400
111 1801 0.018010
112 1171 0.011710
113 2680 0.026800
115 816 0.008160
116 1775 0.017750
117 2193 0.021930
118 731 0.007310
119 916 0.009160
121 4973 0.049730
123 1081 0.010810
126 1287 0.012870
127 1075 0.010750
129 525 0.005250
130 1547 0.015470
131 1711 0.017110
133 2641 0.026410
137 707 0.007070
140 671 0.006710
141 2687 0.026870
144 1417 0.014170
145 505 0.005050
146 4559 0.045590
148 1383 0.013830
152 2611 0.026110
155 1447 0.014470
156 697 0.006970
157 572 0.005720
158 1140 0.011400
159 884 0.008840
160 542 0.005420
161 987 0.009870
162 2320 0.023200
163 1450 0.014500
164 1256 0.012560
165 744 0.007440
168 625 0.006250
169 1538 0.015380
171 1203 0.012030
172 1097 0.010970
173 663 0.006630
174 1080 0.010800
175 579 0.005790
176 2791 0.027910
177 582 0.005820
178 4629 0.046290
179 654 0.006540
182 1235 0.012350
184 3883 0.038830
186 1529 0.015290
188 759 0.007590
189 650 0.006500
191 531 0.005310
193 2004 0.020040
194 925 0.009250
195 517 0.005170
197 2096 0.020960
198 1230 0.012300
199 1461 0.014610
202 1029 0.010290
204 861 0.008610
205 2174 0.021740
206 3605 0.036050
208 1214 0.012140
209 1483 0.014830
211 2009 0.020090
213 778 0.007780
214 522 0.005220
215 1893 0.018930
216 781 0.007810
217 525 0.005250
218 5375 0.053750
221 717 0.007170
225 919 0.009190
227 658 0.006580
228 1818 0.018180
230 2281 0.022810
235 1416 0.014160
237 2618 0.026180
240 2742 0.027420
241 1399 0.013990
242 784 0.007840
243 2325 0.023250
250 615 0.006150
253 781 0.007810
257 785 0.007850
259 1036 0.010360
260 1522 0.015220
263 660 0.006600
264 654 0.006540
266 1359 0.013590
267 1022 0.010220
269 885 0.008850
273 659 0.006590
275 2628 0.026280
276 1692 0.016920
277 2479 0.024790
278 982 0.009820
279 657 0.006570
280 3014 0.030140
281 2108 0.021080
284 4082 0.040820
286 2600 0.026000
291 1793 0.017930
295 1445 0.014450
296 712 0.007120
297 2210 0.022100
299 778 0.007780
300 522 0.005220
301 582 0.005820
305 805 0.008050
308 702 0.007020
309 1402 0.014020
310 1262 0.012620
311 1390 0.013900
315 846 0.008460
316 533 0.005330
317 578 0.005780
319 812 0.008120
320 1371 0.013710
321 540 0.005400
322 676 0.006760
323 1154 0.011540
326 1022 0.010220
327 1488 0.014880
328 662 0.006620
329 663 0.006630
330 964 0.009640
333 1861 0.018610
335 2146 0.021460
336 1345 0.013450
337 1071 0.010710
340 695 0.006950
344 1599 0.015990
346 801 0.008010
347 3470 0.034700
348 885 0.008850
349 1226 0.012260
350 2041 0.020410
351 3069 0.030690
352 1641 0.016410
353 902 0.009020
355 5835 0.058350
356 958 0.009580
358 1142 0.011420
362 1104 0.011040
363 4388 0.043880
365 567 0.005670
367 1031 0.010310
369 7828 0.078280
370 592 0.005920
374 2007 0.020070
378 1149 0.011490
379 1149 0.011490
382 2959 0.029590
384 668 0.006680
386 1676 0.016760
388 2089 0.020890
389 938 0.009380
391 2685 0.026850
393 2420 0.024200
395 1145 0.011450
396 990 0.009900
402 3667 0.036670
404 1722 0.017220
406 1525 0.015250
407 785 0.007850
408 634 0.006340
409 607 0.006070
410 651 0.006510
412 2047 0.020470
413 517 0.005170
414 2637 0.026370
415 1160 0.011600
416 877 0.008770
418 971 0.009710
420 5057 0.050570
422 656 0.006560
423 1255 0.012550
424 1412 0.014120
425 1448 0.014480
428 1856 0.018560
429 1021 0.010210
430 1037 0.010370
431 580 0.005800
433 985 0.009850
437 589 0.005890
439 4511 0.045110
441 1943 0.019430
448 863 0.008630
449 1370 0.013700
450 1890 0.018900
451 2082 0.020820
457 804 0.008040
459 1124 0.011240
461 4438 0.044380
462 1498 0.014980
465 848 0.008480
468 742 0.007420
469 1089 0.010890
470 1502 0.015020
471 4137 0.041370
472 2894 0.028940
473 2125 0.021250
475 815 0.008150
476 663 0.006630
478 2462 0.024620
479 522 0.005220
481 2309 0.023090
482 888 0.008880
485 971 0.009710
487 1547 0.015470
488 3135 0.031350
490 3420 0.034200
491 1066 0.010660
493 665 0.006650
494 583 0.005830
495 5102 0.051020
497 1428 0.014280
500 743 0.007430
501 1444 0.014440
505 1296 0.012960
506 791 0.007910
508 950 0.009500
510 3044 0.030440
511 3281 0.032810
512 1015 0.010150
513 611 0.006110
514 1287 0.012870
516 1166 0.011660
517 1544 0.015440
518 1201 0.012010
519 759 0.007590
522 1582 0.015820
523 2725 0.027250
524 2244 0.022440
526 609 0.006090
527 2793 0.027930
528 1185 0.011850
529 576 0.005760
530 7057 0.070570
531 1263 0.012630
534 772 0.007720
