2 3 4 3205 0.003379
2 3 7 5480 0.005778
2 3 8 1234 0.001301
2 3 12 3961 0.004176
2 4 5 5847 0.006165
2 4 7 47637 0.050228
2 4 8 6470 0.006822
2 4 12 30907 0.032588
2 4 28 5033 0.005307
2 5 7 8107 0.008548
2 5 8 1086 0.001145
2 4 41 2176 0.002294
2 5 12 5228 0.005512
2 4 56 4742 0.005000
2 4 57 1032 0.001088
2 4 65 3849 0.004058
2 4 70 1909 0.002013
2 4 74 1481 0.001562
2 4 78 3771 0.003976
2 4 84 2584 0.002725
2 4 88 1090 0.001149
2 4 91 1439 0.001517
2 7 8 12805 0.013501
2 7 12 64757 0.068279
2 7 15 1949 0.002055
2 7 22 1064 0.001122
2 3 149 998 0.001052
2 7 26 1781 0.001878
2 7 28 9616 0.010139
2 7 29 1255 0.001323
2 7 33 1356 0.001430
2 7 41 4685 0.004940
2 8 12 9920 0.010460
2 4 136 1307 0.001378
2 4 137 2346 0.002474
2 4 139 3605 0.003801
2 7 47 1221 0.001287
2 7 50 1742 0.001837
2 7 56 6915 0.007291
2 4 149 6004 0.006331
2 7 57 2339 0.002466
2 8 28 5983 0.006308
2 8 29 1207 0.001273
2 8 33 1297 0.001368
2 7 65 7623 0.008038
2 7 70 4034 0.004253
2 7 72 1219 0.001285
2 7 74 2111 0.002226
2 7 78 7738 0.008159
2 7 84 5632 0.005938
2 7 86 1216 0.001282
2 7 87 1189 0.001254
2 5 149 1012 0.001067
2 7 88 2194 0.002313
2 7 90 1058 0.001116
2 7 91 3342 0.003524
2 7 92 1268 0.001337
2 3 219 1231 0.001298
2 8 65 1209 0.001275
2 8 78 1425 0.001502
2 4 206 1327 0.001399
2 8 84 2467 0.002601
2 8 86 1211 0.001277
2 8 87 1106 0.001166
2 8 88 2124 0.002240
2 4 216 1663 0.001753
2 4 219 7533 0.007943
2 7 136 3000 0.003163
2 7 137 4921 0.005189
2 7 139 7166 0.007556
2 7 149 12910 0.013612
2 7 156 1469 0.001549
2 5 219 1267 0.001336
2 12 15 1517 0.001600
2 8 139 1427 0.001505
2 4 270 1461 0.001540
